"";"dist_paved";"dist_unpaved";"dist_rail";"dist_silos";"dist_protected";"dist_settlement";"pop_mean";"crop";"fl"
"54";2703,4021378114;389,245759695861;27592,3830547078;5347,77659220169;60389,2241425508;4378,81772613929;0;"1";"0"
"55";16418,7630264583;865,848120460646;16451,6427785641;11940,8564967562;45342,5932348434;27833,6407398942;0;"1";"0"
"56";3511,37265186147;892,450584835689;36874,7272859032;73252,3317047803;102014,442589258;14034,5573294262;0;"7";"3"
"57";686,802324762336;8,45992388272299;696,537852350221;20913,0406777409;12362,8894615868;830,916548747408;2,56755876541138;"8";"0"
"58";428,368494987846;754,940790319216;517,692735557794;41166,333185582;145213,75276099;7230,90981292012;0;"14";"0"
"59";14214,8084938872;1156,72884207864;31932,4566450587;3101,30687181386;118884,603493251;32422,1826531239;0;"0";"0"
"60";4975,8040666187;610,817377081362;6659,47592548851;16452,2772100286;70787,5571648739;9379,06785093977;0;"7";"0"
"61";2648,41171126617;1086,8769931234;17987,1725922243;9978,66386391718;3916,02576091279;6307,57534229711;0;"7";"3"
"62";6699,50485061495;6648,5707838344;8722,06936440224;1633,77603646762;37047,9704619094;11070,3017096963;0;"0";"3"
"63";7501,45561715746;10,886106246048;13165,2335866545;50022,8505396022;107671,027605328;15331,161481344;0;"7";"0"
"64";29895,0991775112;1197,28986021418;30356,9800617769;5235,21350489149;51420,5346060975;24435,7017524846;0;"12";"1"
"65";5137,96576445324;3188,86713267572;28588,3665586013;4930,0463013837;119462,757599199;28929,1226812835;0;"2";"0"
"66";13710,4812709458;2160,92799871089;43801,0214289955;3292,83883957411;26377,3208957429;37343,7001614013;0;"0";"3"
"67";6263,53011051906;2229,83334804829;32067,2102816156;4058,29498209953;51185,4982288467;43270,2424883261;0;"3";"3"
"68";4473,52792590803;85,7036832148839;24918,7271420989;5301,69501731962;84036,3950334589;6980,87153345644;0;"7";"2"
"69";2223,32436120006;252,510964897548;3767,54415422079;1620,77530067217;54653,9007261044;4605,72787635699;0;"7";"0"
"70";1560,68825017163;419,885896697976;8131,05423066639;49549,7377826022;130568,972237383;15745,8291849097;0;"7";"3"
"71";2229,39054736518;284,106580025798;37363,0656220325;109516,530633085;95331,6700159776;4503,58664566449;0,00942382402718067;"7";"3"
"72";7106,6540911534;1137,18690589409;29760,4797595565;6970,19272113258;185003,862091867;22384,7073690132;0;"7";"2"
"73";6052,1788553746;564,455572592032;6120,26214459496;249,641991843159;18865,7685664872;8310,26542216816;0;"7";"0"
"74";2831,04273969002;1383,49876776521;34316,0655803792;7126,83210925721;54841,2554398579;40408,3030665761;0;"1";"2"
"75";14485,7575198113;1528,55720490636;48176,2476751637;3391,53442981104;86911,4059874421;19994,7685325705;0;"12";"2"
"76";874,554817478062;363,640611826046;5140,60424931118;41880,1664041469;27630,8633519916;5438,03016051279;0;"7";"0"
"77";4877,04664278288;2472,82707530471;6232,37548383564;284738,362716116;64855,6460331488;7070,56430236852;0;"1";"0"
"78";12521,2508806917;3240,74629150586;33767,1840645008;49820,2985612874;42853,655517498;44998,3577090437;0;"2";"3"
"79";71,264000580276;1658,9239991036;17106,0493145939;16539,1713378889;51712,4969951962;14774,3188182926;3,57912349700928;"7";"2"
"80";3435,19386632695;2042,67425360395;60093,7433183059;1795,12016268283;81145,4959937702;16384,4736146349;0;"1";"2"
"81";15495,4855569768;747,834483441361;18379,4224538359;2865,17943672449;136373,322777329;18213,2987748046;0;"7";"3"
