"";"unpaved";"paved";"rail";"silos";"fridge";"settlement";"protected_area";"pop_mean";"lc";"crop";"fl";"agri_count";"past_count";"total_count"
"62";0;0;0;0;0;0;98699122,1802812;0,000135441618967513;"0";"0";"0";0;0;0
"63";0;0;0;0;0;0;98289623,8553319;0,00114102472435609;"0";"0";"0";0;0;0
"64";0;0;0;0;0;0;42578688,3469135;0;"0";"0";"0";0;0;0
"65";0;0;0;0;0;0;7874208,84975046;0;"0";"0";"0";0;0;0
"66";0;0;0;0;0;0;32398847,7155387;0;"0";"0";"0";0;0;0
"67";0;0;0;0;0;0;71784707,4709001;0;"0";"0";"0";0;0;0
"68";20471,6040750124;0;0;0;0;0;98962848,0530732;0,0586494594597419;"0";"0";"0";0;0;0
"69";7367,18295105858;0;0;0;0;0;68151628,0457209;0,0043755728685946;"0";"0";"0";0;0;0
"70";1147,78709052707;0;0;0;0;0;39839414,2137968;0;"0";"0";"0";0;0;0
"71";5507,37875361517;0;0;0;0;0;24606474,4480752;0;"0";"0";"0";0;0;0
"72";0;0;0;0;0;0;1585893,97185055;0;"0";"0";"0";0;0;0
"73";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"74";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"75";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"76";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"77";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"78";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"79";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"80";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"81";5023,82128081238;6151,7598568522;0;0;0;0;0;1,30726530107115e-05;"0";"0";"0";0;0;0
"82";0;8247,2970583172;0;0;0;0;0;0;"0";"0";"0";0;0;0
"83";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"84";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"85";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"86";0;0;0;0;0;0;0;0,00169421580306924;"0";"0";"0";0;0;0
"87";0;0;0;0;0;0;0;0,000454015486101829;"0";"0";"0";0;0;0
"88";0;4265,33762897008;0;0;0;0;0;1,87374679978323e-05;"0";"0";"0";0;0;0
"89";0;11263,3736304682;0;0;0;0;0;0,000332490529551633;"0";"0";"0";0;0;0
"90";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"91";0;0;0;0;0;0;0;0,000788934599095448;"0";"0";"0";0;0;0
"92";0;0;0;0;0;0;42727074,9110636;2,41731385413588e-05;"0";"0";"0";0;0;0
"93";0;0;0;0;0;0;98963467,9767585;3,73584868366455e-05;"0";"0";"0";0;0;0
"94";0;0;0;0;0;0;98963489,1577535;0;"0";"0";"0";0;0;0
"95";0;0;0;0;0;0;98963510,3698692;0,000439731373178123;"0";"0";"0";0;0;0
"96";0;0;0;0;0;0;97898655,5700438;0,00118917566821563;"0";"0";"0";0;0;0
"97";0;0;0;0;0;0;94161188,4843339;0,00233094975515352;"0";"0";"0";0;0;0
"98";0;0;0;0;0;0;15736178,9825119;0,00173902087019896;"0";"0";"0";0;0;0
"99";0;0;0;0;0;0;1446669,74435439;0;"0";"0";"0";0;0;0
"100";0;0;0;0;0;0;7093741,6886628;0;"0";"0";"0";0;0;0
"101";0;0;0;0;0;0;17724055,7277506;0;"0";"0";"0";0;0;0
"102";5247,03775932867;0;0;0;0;0;97160104,1276917;0,000150443402231794;"0";"0";"0";0;0;0
"103";11357,7232597375;0;0;0;0;0;98995450,0074182;0;"0";"0";"0";0;0;0
"104";3259,19627779079;0;0;0;0;0;98995469,5361717;0;"0";"0";"0";0;0;0
"105";15371,6050446622;0;0;0;0;1;98995489,1013923;0,00840589201454959;"0";"0";"0";0;0;0
"106";15408,1330443015;0;0;0;0;0;98995508,7028556;0;"0";"0";"0";0;0;0
"107";6309,66070264445;0;0;0;0;0;98995528,3403859;0;"0";"0";"0";0;0;0
"108";0;0;0;0;0;0;77138903,6424791;0;"0";"0";"0";0;0;0
"109";0;0;0;0;0;0;77247310,7441459;0;"0";"0";"0";0;0;0
"110";6200,92535613359;0;0;0;0;0;48932342,2669639;0;"0";"0";"0";0;0;0
"111";4774,57445581307;0;0;0;0;0;18485,7406418081;0;"0";"0";"0";0;0;0
"112";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"113";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"114";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"115";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"116";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"117";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"118";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"119";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"120";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"121";870,351073354694;8,67878300595894;0;0;0;0;0;0;"0";"0";"0";0;0;0
"122";11139,2920783831;11348,9303167378;0;0;0;0;0;0;"0";"0";"0";0;0;0
"123";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"124";0;0;0;0;0;0;0;8,96463697914036e-05;"0";"0";"0";0;0;0
"125";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"126";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"127";0;0;0;0;0;0;0;2,24655958224409e-05;"0";"0";"0";0;0;0
"128";0;0;0;0;0;0;0;4,03073467830272e-05;"0";"0";"0";0;0;0
"129";0;0;0;0;0;0;0;6,91249116463835e-05;"0";"0";"0";0;0;0
